,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,resolved_by
476,477,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,02-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
477,478,cant log in to vpn,cant log in to vpn,2,1,7,03-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
480,481,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,04-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
481,482,cant log in to vpn,cant log in to vpn,2,1,7,05-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
484,485,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,01-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
485,486,cant log in to vpn,cant log in to vpn,2,1,7,02-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
488,489,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,04-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
489,490,cant log in to vpn,cant log in to vpn,2,1,7,05-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
492,493,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,03-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
493,494,cant log in to vpn,cant log in to vpn,2,1,7,03-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
496,497,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,04-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
497,498,cant log in to vpn,cant log in to vpn,2,1,7,05-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
500,501,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,07-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
501,502,cant log in to vpn,cant log in to vpn,2,1,7,07-12-2022 12:45,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,31.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
504,505,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,07-12-2022 12:45,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,34.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
505,506,reset password,I forgot my sap account password.Want to reset it.,3,1,1,12-10-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
506,507,visual studio code,visual studio code licence expired,3,1,2,13-10-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
507,508,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,13-10-2022 12:15,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
508,509,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,13-10-2022 13:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
510,511,outlook,outlook frozen,3,1,6,14-10-2022 15:00,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
511,512,cant log in to vpn,cant log in to vpn,2,1,7,14-10-2022 16:00,Login,VPN,,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
514,515,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,14-10-2022 20:30,Login,Skype,,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
515,516,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,14-10-2022 20:30,Configuration,Outlook,,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
517,518,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,14-10-2022 20:30,Page_not_load,Hr_tool,,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
526,527,Laptop battery,Laptop battery draining,1,1,2,03-12-2022 17:44,Hardware,Hardware,,,,05-12-2022 13:29,give laptop,
580,581,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,03-12-2022 15:00,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,37.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
581,582,Want to reset the password for outlook,hi I want to reset my outlook password.,4,1,4,04-12-2022 15:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",38.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
582,583,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,1,5,03-12-2022 15:00,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,39.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
583,584,sap crashing,sap crashing ,1,1,1,04-12-2022 15:00,Crash,SAP,raghav_it,,40.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
584,585,Not able to access ERP,Not able to access ERP,1,1,1,03-12-2022 15:00,Access,ERP,raghav_it,,41.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
585,586,Sap password reset,Forgot sap password need reset,1,1,1,04-12-2022 15:00,Login,SAP,raghav_it,,42.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
586,587,Windows account locked,windows account locked need urgently,1,1,2,03-12-2022 15:00,Login,Windows,raghav_it,,43.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
587,588,sap crashing,sap crashing,1,1,2,04-12-2022 15:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
588,589,windows updated some features not working,Windows update done and now some features are not working,5,1,6,03-12-2022 15:00,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
589,590,Laptop battery,Laptop battery draining,1,1,2,04-12-2022 15:00,Hardware,Hardware,raghav_it,,46.0,05-12-2022 13:29,give laptop,
590,591,erp crash,erp crash,5,1,1,09-12-2022 05:05,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
591,592,outlook crashing,outlook crashing,3,1,6,07-12-2022 22:24,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
592,593,reset password,I forgot my sap account password.Want to reset it.,3,1,1,01-12-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
593,594,visual studio code,visual studio code licence expired,3,1,2,01-12-2022 11:15,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
594,595,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,09-12-2022 05:05,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
595,596,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,07-12-2022 22:24,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
596,597,login issue,Unable to login as it shows incorrect login details,2,1,5,01-12-2022 11:15,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
597,598,outlook,outlook frozen,3,1,6,01-12-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
598,599,cant log in to vpn,cant log in to vpn,2,1,7,09-12-2022 05:05,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
599,600,unable to access hr_tool page,unable to access hr_tool page,3,1,1,07-12-2022 22:24,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
600,601,skype error ,skype crashing,2,1,2,01-12-2022 11:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
601,602,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,01-12-2022 11:15,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
602,603,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,09-12-2022 05:05,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
603,604,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,1,6,10-12-2022 20:30,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
604,605,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,11-12-2022 20:30,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
605,606,Want to reset the password for outlook,hi I want to reset my outlook password.,4,1,4,09-12-2022 05:05,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
606,607,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,1,5,10-12-2022 20:30,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
607,608,sap crashing,sap crashing ,1,1,1,11-12-2022 20:30,Crash,SAP,,,,,,
608,609,sap crashing,sap crashing ,1,1,1,09-12-2022 05:05,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
609,610,Not able to access ERP,Not able to access ERP,1,1,1,10-12-2022 20:30,Access,ERP,,,,,,
610,611,Not able to access ERP,Not able to access ERP,1,1,1,11-12-2022 20:30,Access,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,17.0,16-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
611,612,Sap password reset,Forgot sap password need reset,1,1,1,09-12-2022 05:05,Login,SAP,,,,,,
612,613,Sap password reset,Forgot sap password need reset,1,1,1,10-12-2022 20:30,Login,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,18.0,17-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
613,614,Windows account locked,windows account locked need urgently,1,1,2,11-12-2022 20:30,Login,Windows,,,,,,
614,615,Windows account locked,windows account locked need urgently,1,1,2,09-12-2022 05:05,Login,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,19.0,18-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
615,616,sap crashing,sap crashing,1,1,2,10-12-2022 20:30,Crash,SAP,,,,,,
616,617,windows updated some features not working,Windows update done and now some features are not working,5,1,6,11-12-2022 20:30,Configuration,Windows,,,,07-12-2022 18:56,Windows version degraded to a lower version,aditya
617,618,sap crashing,sap crashing,1,1,2,09-12-2022 05:05,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
618,619,Laptop battery,Laptop battery draining,1,1,2,10-12-2022 20:30,Hardware,Hardware,,,,05-12-2022 13:29,give laptop,
619,620,windows updated some features not working,Windows update done and now some features are not working,5,1,6,11-12-2022 20:30,Configuration,Windows,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,21.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
620,621,Laptop battery,Laptop battery draining,1,1,2,09-12-2022 05:05,Hardware,Hardware,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,22.0,05-12-2022 13:29,give laptop,
621,622,erp crash,erp crash,5,1,1,10-12-2022 20:30,Crash,ERP,raghav_it,,,07-12-2022 01:40,,
622,623,erp crash,erp crash,5,1,1,11-12-2022 20:30,Crash,ERP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,23.0,07-12-2022 01:40,,
623,624,outlook crashing,outlook crashing,3,1,6,09-12-2022 05:05,Crash,Outlook,raghav_it,,,07-12-2022 22:48,Check the server connection.,raghav_it
624,625,outlook crashing,outlook crashing,3,1,6,10-12-2022 20:30,Crash,Outlook,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,24.0,07-12-2022 22:48,Check the server connection.,raghav_it
625,626,reset password,I forgot my sap account password.Want to reset it.,3,1,1,11-12-2022 20:30,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,25.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
626,627,visual studio code,visual studio code licence expired,3,1,2,03-06-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,26.0,07-12-2022 00:55,Renew license,
627,628,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,04-06-2022 00:00,Access,Powerpoint,raghav_it,Check recycle bin.,27.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
628,629,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,05-06-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",28.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
629,630,reset password,I forgot my sap account password.Want to reset it.,3,1,1,13-12-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
630,631,reset password,I forgot my sap account password.Want to reset it.,3,1,1,14-12-2022 11:15,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
631,632,visual studio code,visual studio code licence expired,3,1,2,15-12-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
632,633,visual studio code,visual studio code licence expired,3,1,2,16-12-2022 00:00,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
633,634,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,17-12-2022 12:45,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
634,635,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,13-12-2022 11:15,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
635,636,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,14-12-2022 11:15,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
636,637,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,15-12-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
637,638,login issue,Unable to login as it shows incorrect login details,2,1,5,16-12-2022 00:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
638,639,login issue,Unable to login as it shows incorrect login details,2,1,5,17-12-2022 12:45,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
639,640,outlook,outlook frozen,3,1,6,13-12-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
640,641,outlook,outlook frozen,3,1,6,14-12-2022 11:15,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
641,642,cant log in to vpn,cant log in to vpn,2,1,7,15-12-2022 00:00,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
642,643,cant log in to vpn,cant log in to vpn,2,1,7,16-12-2022 00:00,Login,VPN,,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
643,644,unable to access hr_tool page,unable to access hr_tool page,3,1,1,17-12-2022 12:45,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
644,645,unable to access hr_tool page,unable to access hr_tool page,3,1,1,13-12-2022 11:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
645,646,skype error ,skype crashing,2,1,2,14-12-2022 11:15,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
646,647,skype error ,skype crashing,2,1,2,15-12-2022 00:00,Crash,Skype,,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
688,689,windows updated some features not working,Windows update done and now some features are not working,5,1,6,13-12-2022 11:15,Configuration,Windows,raghav_it,,45.0,07-12-2022 18:56,Windows version degraded to a lower version,aditya
689,690,Laptop battery,Laptop battery draining,1,1,2,14-12-2022 11:15,Hardware,Hardware,raghav_it,,46.0,05-12-2022 13:29,give laptop,
690,691,erp crash,erp crash,5,1,1,15-12-2022 00:00,Crash,ERP,raghav_it,,47.0,07-12-2022 01:40,,
691,692,outlook crashing,outlook crashing,3,1,6,16-12-2022 00:00,Crash,Outlook,raghav_it,,48.0,07-12-2022 22:48,Check the server connection.,raghav_it
692,693,reset password,I forgot my sap account password.Want to reset it.,3,1,1,17-12-2022 12:45,Login,SAP,raghav_it,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1.0,07-12-2022 22:25,Go to admin settings and reset password for that user.,aditya
693,694,visual studio code,visual studio code licence expired,3,1,2,13-12-2022 11:15,Configuration,Visual studio code,arjun,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2.0,07-12-2022 00:55,Renew license,
694,695,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,1,3,14-12-2022 11:15,Access,Powerpoint,raghav_it,Check recycle bin.,3.0,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,
695,696,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",4,1,4,15-12-2022 00:00,Crash,Excel,shubhangi,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4.0,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",
696,697,login issue,Unable to login as it shows incorrect login details,2,1,5,16-12-2022 00:00,Login,ERP,arjun,Check your username and password input. Check if caps is on.,5.0,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,
697,698,outlook,outlook frozen,3,1,6,17-12-2022 12:45,Crash,Outlook,shubhangi,Restart your outlook,6.0,07-12-2022 22:25,Check the server connection.,aditya
698,699,cant log in to vpn,cant log in to vpn,2,1,7,13-12-2022 11:15,Login,VPN,shubhangi,check your network settings.Check if you are connected to internet.,7.0,07-12-2022 18:50,Check the firewall configuration and setup the access,aditya
699,700,unable to access hr_tool page,unable to access hr_tool page,3,1,1,14-12-2022 11:15,Login,Hr_tool,raghav_it,check your network settings.Check if you are connected to internet.,8.0,07-12-2022 17:04,Server need to be restarted,raghav_it
700,701,skype error ,skype crashing,2,1,2,15-12-2022 00:00,Crash,Skype,raghav_it,Restart skype.Restart your computer.,9.0,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,akash
701,702,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,4,16-12-2022 00:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
702,703,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,5,17-12-2022 12:45,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
703,704,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,1,6,13-12-2022 11:15,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
704,705,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,3,14-12-2022 11:15,Page_not_load,Hr_tool,raghav_it,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13.0,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,
705,706,Want to reset the password for outlook,hi I want to reset my outlook password.,4,1,4,15-12-2022 00:00,Login,Outlook,raghav_it,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14.0,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",Akash
706,707,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,1,5,16-12-2022 00:00,Finance,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,15.0,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,Akash
707,708,sap crashing,sap crashing ,1,1,1,17-12-2022 12:45,Crash,SAP,,,,,,
708,709,sap crashing,sap crashing ,1,1,1,13-12-2022 11:15,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,16.0,15-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
709,710,Not able to access ERP,Not able to access ERP,1,1,1,14-12-2022 11:15,Access,ERP,,,,,,
